Rk,I,Player,Split,Year,G,PA,GS,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1,,J.P. Crawford\crawfjp01,vs LHP,2021,110,273,,252,28,69,14,0,4,28,1,0,15,48,0.274,0.324,0.377,0.701,95,5,4,1,1,0,1,0.323,96,92
2,,Matt Olson\olsonma02,vs LHP,2021,112,254,,222,44,60,9,0,22,50,3,0,26,46,0.27,0.354,0.608,0.962,135,6,4,0,2,2,0,0.244,108,157
3,,Rafael Devers\deverra01,vs LHP,2021,113,252,,227,28,63,11,0,6,28,1,2,20,41,0.278,0.345,0.405,0.751,92,5,4,0,1,0,0,0.315,73,105
4,,Cedric Mullins\mullice01,vs LHP,2021,99,247,,224,26,62,12,0,9,20,6,3,17,46,0.277,0.337,0.451,0.788,101,0,4,1,1,1,1,0.312,81,114
5,,Juan Soto\sotoju01,vs LHP,2021,115,238,,193,36,54,7,0,10,35,0,1,40,42,0.28,0.403,0.472,0.875,91,8,2,0,3,6,0,0.306,75,140
6,,Kyle Seager\seageky01,vs LHP,2021,102,234,,219,22,48,9,0,13,32,2,1,13,64,0.219,0.261,0.438,0.699,96,3,0,0,2,0,1,0.243,92,87
7,,Randy Arozarena\arozara01,vs LHP,2021,97,233,,202,41,61,13,2,10,22,8,5,26,61,0.302,0.386,0.535,0.921,108,5,3,0,2,3,2,0.384,125,150
8,,Enrique Hernandez\hernaen02,vs LHP,2021,90,233,,196,31,51,13,1,10,25,0,0,31,41,0.26,0.361,0.49,0.85,96,1,2,0,4,0,3,0.275,116,131
9,,Yordan Alvarez\alvaryo01,vs LHP,2021,99,229,,205,37,58,12,0,13,39,0,0,18,53,0.283,0.349,0.532,0.881,109,5,4,0,2,0,0,0.319,101,137
10,,Mitch Haniger\hanigmi01,vs LHP,2021,96,229,,203,42,58,8,1,16,35,1,0,21,52,0.286,0.349,0.571,0.921,116,5,1,0,4,2,3,0.302,128,147
11,,J.D. Martinez\martijd02,vs LHP,2021,99,226,,204,34,57,11,2,9,36,0,0,20,45,0.279,0.341,0.485,0.826,99,6,0,0,2,6,4,0.316,91,123
12,,Shohei Ohtani\ohtansh01,vs LHP,2021,104,224,,198,35,52,10,5,18,34,7,0,23,69,0.263,0.344,0.636,0.98,126,1,2,0,1,5,2,0.304,100,161
13,,Trey Mancini\mancitr01,vs LHP,2021,96,223,,198,34,57,14,1,11,35,0,0,22,46,0.288,0.363,0.535,0.899,106,7,2,0,1,2,1,0.324,135,142
14,,Carlos Correa\correca01,vs LHP,2021,93,221,,186,40,54,12,1,5,22,0,0,32,32,0.29,0.398,0.446,0.844,83,6,2,0,1,1,3,0.327,101,132
15,,Yandy Diaz\diazya01,vs LHP,2021,94,218,,191,24,55,12,0,6,25,0,0,25,33,0.288,0.367,0.445,0.812,85,6,0,0,2,3,3,0.318,119,122
16,,Joey Gallo\gallojo01,vs LHP,2021,106,218,,180,24,36,6,1,11,24,0,0,34,83,0.2,0.339,0.428,0.767,77,0,4,0,0,0,0,0.291,90,109
17,,Ty France\francty01,vs LHP,2021,88,216,,193,30,60,9,1,9,33,0,0,13,34,0.311,0.366,0.508,0.874,98,8,6,0,4,1,1,0.331,114,137
18,,Austin Hays\haysau01,vs LHP,2021,85,214,,198,32,61,11,2,11,30,0,0,10,33,0.308,0.346,0.551,0.897,109,5,2,3,1,0,1,0.323,132,141
19,,Isiah Kiner-Falefa\kineris01,vs LHP,2021,90,214,,202,20,47,9,0,2,12,1,1,7,27,0.233,0.271,0.307,0.578,62,3,4,0,1,1,2,0.259,73,59
20,,Xander Bogaerts\bogaexa01,vs LHP,2021,97,213,,183,34,52,8,0,7,30,0,1,28,45,0.284,0.376,0.443,0.818,81,3,0,0,2,1,2,0.338,92,124
21,,Adolis Garcia\garciad02,vs LHP,2021,93,213,,203,26,47,11,0,10,32,2,2,8,72,0.232,0.263,0.434,0.696,88,2,1,0,1,0,3,0.303,87,87
22,,DJ LeMahieu\lemahdj01,vs LHP,2021,94,213,,188,22,50,7,0,2,18,0,1,23,22,0.266,0.343,0.335,0.678,63,7,0,0,2,1,0,0.289,91,88
23,,Jorge Polanco\polanjo01,vs LHP,2021,97,211,,198,33,54,15,1,9,32,3,0,8,34,0.273,0.308,0.495,0.803,98,2,3,0,2,0,3,0.287,94,116
24,,Jose Ramirez\ramirjo01,vs LHP,2021,91,211,,190,34,55,12,0,11,30,6,1,19,28,0.29,0.356,0.526,0.882,100,7,1,0,1,4,0,0.29,98,138
25,,Mark Canha\canhama01,vs LHP,2021,88,210,,181,30,40,9,1,7,23,6,2,23,41,0.221,0.329,0.398,0.726,72,4,6,0,0,0,4,0.248,95,99
26,,David Fletcher\fletcda02,vs LHP,2021,95,209,,193,22,61,11,1,2,17,3,2,15,12,0.316,0.365,0.415,0.78,80,3,0,1,0,0,2,0.33,151,114
27,,Manuel Margot\margoma01,vs LHP,2021,91,209,,187,23,51,11,1,4,22,3,6,20,26,0.273,0.346,0.406,0.753,76,3,1,1,0,2,2,0.299,117,106
28,,Ryan Mountcastle\mountry01,vs LHP,2021,90,209,,188,27,50,8,1,13,36,3,2,16,55,0.266,0.316,0.527,0.842,99,3,0,0,5,1,1,0.296,111,126
29,,Matt Chapman\chapmma01,vs LHP,2021,89,208,,180,31,41,3,1,14,30,3,0,25,66,0.228,0.317,0.489,0.806,88,3,0,0,3,0,0,0.262,122,117
30,,Yuli Gurriel\gourryu01,vs LHP,2021,91,208,,181,29,59,13,0,8,34,0,0,23,17,0.326,0.394,0.53,0.925,96,6,0,0,4,2,0,0.319,118,151
31,,Hunter Renfroe\renfrhu01,vs LHP,2021,93,208,,181,35,50,11,0,11,33,0,1,25,41,0.276,0.365,0.519,0.885,94,3,1,0,1,0,2,0.3,120,139
32,,Jose Altuve\altuvjo01,vs LHP,2021,79,207,,187,38,52,12,0,7,21,3,2,16,27,0.278,0.335,0.455,0.79,85,1,1,1,2,1,1,0.29,89,114
33,,Nathaniel Lowe\lowena01,vs LHP,2021,97,207,,184,23,51,8,1,4,19,1,0,23,55,0.277,0.358,0.397,0.754,73,4,0,0,0,0,2,0.376,96,107
34,,Robbie Grossman\grossro01,vs LHP,2021,90,206,,172,25,48,6,2,8,27,3,2,27,42,0.279,0.381,0.477,0.857,82,6,3,1,3,0,2,0.32,121,134
35,,Cesar Hernandez\hernace02,vs LHP,2021,88,202,,181,28,39,7,0,13,25,0,0,20,39,0.216,0.297,0.47,0.767,85,10,1,0,0,0,0,0.202,118,106
36,,Myles Straw\strawmy01,vs LHP,2021,91,202,,181,26,44,5,0,0,11,5,2,21,41,0.243,0.322,0.271,0.593,49,4,0,0,0,0,3,0.314,70,66
37,,Kyle Tucker\tuckeky01,vs LHP,2021,91,202,,185,34,53,11,2,13,44,0,0,14,25,0.287,0.332,0.578,0.91,107,3,0,0,3,0,2,0.267,96,143
38,,Alex Verdugo\verdual01,vs LHP,2021,89,201,,189,22,43,5,0,2,12,0,0,9,35,0.228,0.269,0.286,0.554,54,6,2,0,1,0,0,0.268,44,53
39,,Pete Alonso\alonspe01,vs LHP,2021,95,199,,169,27,40,5,1,16,32,1,0,26,43,0.237,0.342,0.562,0.904,95,6,2,0,2,5,1,0.214,108,142
40,,Jake Cronenworth\croneja01,vs LHP,2021,104,199,,178,23,48,13,2,4,21,1,1,13,31,0.27,0.337,0.433,0.769,77,3,5,0,0,0,3,0.308,93,110
41,,Whit Merrifield\merriwh01,vs LHP,2021,85,196,,181,30,50,14,0,3,18,18,0,11,24,0.276,0.316,0.403,0.72,73,3,1,0,3,1,1,0.299,102,96
42,,Jonathan Schoop\schoojo01,vs LHP,2021,83,196,,177,25,59,10,0,9,33,1,0,15,40,0.333,0.383,0.542,0.925,96,5,1,0,3,0,1,0.382,144,150
43,,Andrew McCutchen\mccutan01,vs LHP,2021,86,195,,164,31,48,7,1,15,32,1,0,28,36,0.293,0.405,0.622,1.027,102,4,3,0,0,1,1,0.292,161,176
44,,Marcus Semien\semiema01,vs LHP,2021,92,195,,177,26,43,8,1,10,30,2,0,17,43,0.243,0.313,0.469,0.782,83,1,1,0,0,0,1,0.266,81,111
45,,Nelson Cruz\cruzne02,vs LHP,2021,84,194,,171,29,54,8,0,10,28,2,0,15,39,0.316,0.375,0.538,0.913,92,7,3,0,3,6,2,0.352,121,147
46,,Austin Slater\slateau01,vs LHP,2021,92,193,,169,26,48,10,0,10,24,10,2,21,37,0.284,0.373,0.521,0.894,88,3,3,0,0,2,2,0.312,140,142
47,,Freddie Freeman\freemfr01,vs LHP,2021,97,192,,171,25,44,6,1,7,20,2,1,16,31,0.257,0.333,0.427,0.76,73,4,4,0,1,0,1,0.276,70,107
48,,Jared Walsh\walshja01,vs LHP,2021,95,192,,182,13,31,4,0,10,30,1,0,9,54,0.17,0.208,0.357,0.565,65,2,0,0,1,0,2,0.177,31,51
49,,Bryan Reynolds\reynobr01,vs LHP,2021,100,191,,166,30,54,17,1,4,24,3,2,23,43,0.325,0.403,0.512,0.915,85,4,0,0,2,4,2,0.413,101,149
50,,Bobby Dalbec\dalbebo01,vs LHP,2021,90,190,,176,17,49,9,3,11,39,0,0,11,65,0.278,0.326,0.551,0.877,97,1,2,0,1,1,0,0.376,121,135
51,,Bryce Harper\harpebr03,vs LHP,2021,95,190,,152,24,39,8,1,4,12,5,0,34,54,0.257,0.397,0.401,0.798,61,4,2,1,1,0,0,0.368,58,121
52,,Carlos Santana\santaca01,vs LHP,2021,89,190,,173,17,49,4,0,4,20,2,0,15,21,0.283,0.342,0.376,0.718,65,5,1,0,1,1,1,0.302,117,97
53,,Austin Meadows\meadoau01,vs LHP,2021,90,189,,167,16,33,7,0,3,25,0,1,15,43,0.198,0.27,0.293,0.563,49,1,3,0,4,0,1,0.24,50,55
54,,Aaron Judge\judgeaa01,vs LHP,2021,89,188,,161,29,48,3,0,15,32,1,1,24,44,0.298,0.394,0.596,0.99,96,2,2,0,1,1,0,0.32,115,167
55,,Brandon Lowe\lowebr01,vs LHP,2021,96,188,,172,17,34,5,0,10,27,1,0,14,64,0.198,0.261,0.401,0.662,69,0,1,0,1,0,1,0.242,53,78
56,,Amed Rosario\rosaram01,vs LHP,2021,81,188,,176,25,55,9,3,5,22,4,0,12,33,0.313,0.356,0.483,0.839,85,4,0,0,0,0,3,0.362,129,128
57,,Salvador Perez\perezsa02,vs LHP,2021,91,184,,172,29,52,4,0,18,36,0,0,8,40,0.302,0.342,0.64,0.982,110,5,3,0,1,1,0,0.296,126,161
58,,Josh Bell\belljo02,vs LHP,2021,103,182,,151,20,37,7,0,9,26,0,0,30,25,0.245,0.368,0.47,0.838,71,7,0,0,1,0,5,0.237,105,128
59,,Jean Segura\segurje01,vs LHP,2021,83,182,,163,26,51,11,1,6,21,3,2,17,22,0.313,0.379,0.503,0.882,82,5,1,0,1,2,1,0.331,124,140
60,,Elvis Andrus\andruel01,vs LHP,2021,89,181,,163,18,31,6,0,0,10,3,0,12,32,0.19,0.251,0.227,0.478,37,3,2,2,2,2,3,0.233,56,33
61,,Adam Frazier\fraziad01,vs LHP,2021,89,181,,164,23,45,9,2,3,17,1,2,11,31,0.274,0.343,0.409,0.751,67,3,6,0,0,0,0,0.323,93,106
62,,Michael Brantley\brantmi02,vs LHP,2021,78,180,,169,25,37,8,1,2,14,0,0,8,24,0.219,0.261,0.314,0.575,53,5,2,0,1,0,2,0.243,44,57
63,,Jed Lowrie\lowrije01,vs LHP,2021,77,180,,162,14,42,8,0,3,23,0,0,16,38,0.259,0.322,0.364,0.686,59,4,0,0,2,0,1,0.317,93,88
64,,Kevin Newman\newmake01,vs LHP,2021,90,177,,163,20,36,9,1,3,9,1,0,9,8,0.221,0.259,0.344,0.602,56,2,0,3,2,2,1,0.214,109,64
65,,Justin Turner\turneju01,vs LHP,2021,79,177,,159,30,41,7,0,10,30,2,0,15,27,0.258,0.328,0.491,0.818,78,2,2,0,1,0,2,0.252,95,121
66,,Ozzie Albies\albieoz01,vs LHP,2021,83,175,,164,27,53,14,1,9,33,5,3,8,24,0.323,0.354,0.585,0.94,96,1,1,0,2,0,4,0.331,134,152
67,,Miguel Sano\sanomi01,vs LHP,2021,78,174,,151,21,36,4,0,5,18,1,0,23,50,0.238,0.339,0.364,0.703,55,4,0,0,0,0,2,0.323,87,94
68,,Jeimer Candelario\candeje01,vs LHP,2021,72,173,,161,24,44,14,1,3,16,0,0,10,38,0.273,0.324,0.429,0.752,69,4,2,0,0,0,2,0.342,89,105
69,,Vladimir Guerrero Jr.\guerrvl02,vs LHP,2021,81,173,,146,33,43,3,0,11,19,1,0,27,24,0.295,0.405,0.541,0.946,79,3,0,0,0,0,1,0.288,91,157
70,,Ryan McMahon\mcmahry01,vs LHP,2021,91,173,,153,13,35,7,0,4,21,0,2,17,46,0.229,0.312,0.353,0.665,54,4,2,0,1,1,1,0.298,73,83
71,,Tom Murphy\murphto04,vs LHP,2021,77,173,,142,20,33,5,0,8,22,0,0,26,50,0.232,0.357,0.437,0.793,62,5,2,0,1,0,0,0.294,142,117
72,,Anthony Rizzo\rizzoan01,vs LHP,2021,87,171,,151,19,49,6,0,7,21,1,0,11,17,0.325,0.398,0.503,0.901,76,4,8,0,1,0,2,0.328,130,146
73,,Giancarlo Stanton\stantmi03,vs LHP,2021,81,171,,144,20,39,3,0,10,26,0,0,24,42,0.271,0.386,0.5,0.886,72,7,3,0,0,0,0,0.315,106,141
74,,Chris Taylor\tayloch03,vs LHP,2021,86,170,,152,30,45,13,2,6,25,5,0,17,51,0.296,0.371,0.526,0.897,80,1,1,0,0,1,2,0.411,128,143
75,,Willy Adames\adamewi01,vs LHP,2021,82,168,,149,21,35,8,0,8,18,1,3,19,52,0.235,0.321,0.45,0.771,67,1,0,0,0,1,2,0.303,89,109
76,,Jorge Soler\solerjo01,vs LHP,2021,74,168,,143,20,32,5,0,12,16,0,0,22,42,0.224,0.335,0.511,0.846,73,0,2,0,0,0,0,0.225,124,128
77,,Josh Donaldson\donaljo02,vs LHP,2021,73,167,,140,26,36,5,0,13,28,0,0,25,41,0.257,0.371,0.571,0.943,80,6,1,0,1,1,0,0.264,126,154
78,,Trea Turner\turnetr01,vs LHP,2021,76,167,,153,36,60,12,2,11,32,4,2,11,19,0.392,0.437,0.712,1.15,109,5,2,0,1,1,0,0.395,149,208
79,,Joey Votto\vottojo01,vs LHP,2021,92,166,,144,11,31,8,1,5,27,0,0,19,47,0.215,0.313,0.389,0.702,56,5,2,0,1,0,1,0.28,53,92
80,,Bo Bichette\bichebo01,vs LHP,2021,74,164,,150,28,51,8,0,8,22,2,0,14,28,0.34,0.396,0.553,0.95,83,1,0,0,0,0,0,0.377,130,157
81,,Francisco Lindor\lindofr01,vs LHP,2021,80,164,,146,22,35,5,2,5,16,4,2,15,22,0.24,0.311,0.404,0.715,59,4,0,3,0,1,2,0.252,95,95
82,,Starling Marte\martest01,vs LHP,2021,74,164,,150,26,41,8,0,5,14,16,1,11,37,0.273,0.335,0.427,0.762,64,0,3,0,0,0,2,0.333,82,108
83,,Manny Machado\machama01,vs LHP,2021,77,163,,134,24,33,9,0,5,14,0,2,27,20,0.246,0.374,0.425,0.8,57,2,1,0,1,4,3,0.255,95,119
84,,Miguel Rojas\rojasmi02,vs LHP,2021,69,163,,142,21,45,12,0,4,18,4,1,17,18,0.317,0.399,0.486,0.885,69,2,3,0,1,0,1,0.339,148,142
85,,Josh Harrison\harrijo05,vs LHP,2021,77,162,,146,15,43,8,0,3,25,3,0,6,19,0.295,0.36,0.411,0.771,60,3,9,0,0,0,1,0.323,108,111
86,,Andrelton Simmons\simmoan01,vs LHP,2021,81,162,,147,11,36,5,0,2,11,0,0,14,23,0.245,0.315,0.32,0.635,47,6,1,0,0,0,0,0.279,128,75
87,,Pedro Severino\severpe01,vs LHP,2021,72,161,,147,14,43,6,0,7,20,0,0,12,34,0.293,0.342,0.476,0.818,70,4,0,0,2,0,1,0.333,135,122
88,,Trevor Story\storytr01,vs LHP,2021,76,161,,145,33,43,13,3,9,27,2,2,13,30,0.297,0.36,0.614,0.974,89,1,2,0,1,0,3,0.318,140,161
89,,Max Muncy\muncyma01,vs LHP,2021,78,160,,134,22,37,4,1,11,27,0,0,20,26,0.276,0.394,0.567,0.961,76,3,6,0,0,1,0,0.268,115,160
90,,Christian Vazquez\vazquch01,vs LHP,2021,73,160,,151,18,33,7,0,2,12,1,0,7,29,0.219,0.25,0.305,0.555,46,6,0,0,2,0,0,0.254,68,52
91,,Eduardo Escobar\escobed01,vs LHP,2021,80,159,,149,24,44,9,0,9,25,0,0,9,20,0.295,0.34,0.537,0.877,80,2,1,0,0,1,3,0.292,122,136
92,,Garrett Hampson\hampsga01,vs LHP,2021,77,159,,144,25,39,9,3,5,13,8,2,13,26,0.271,0.335,0.479,0.815,69,3,1,1,0,0,0,0.301,142,120
93,,Jonathan India\indiajo01,vs LHP,2021,79,159,,138,22,41,10,0,3,14,3,2,18,28,0.297,0.39,0.435,0.825,60,5,3,0,0,1,0,0.355,99,127
94,,Nick Ahmed\ahmedni01,vs LHP,2021,76,158,,143,24,36,15,3,3,14,4,1,13,29,0.252,0.317,0.462,0.778,66,2,1,0,1,1,2,0.295,149,110
95,,Charlie Blackmon\blackch02,vs LHP,2021,89,158,,136,21,39,4,0,3,18,2,0,19,25,0.287,0.386,0.382,0.769,52,0,3,0,0,0,1,0.333,103,113
96,,Hunter Dozier\doziehu01,vs LHP,2021,84,158,,137,14,28,9,0,3,9,2,1,18,47,0.204,0.304,0.336,0.64,46,1,2,0,1,0,0,0.284,92,76
97,,Eric Hosmer\hosmeer01,vs LHP,2021,89,158,,149,12,39,9,0,3,19,1,1,5,27,0.262,0.293,0.383,0.676,57,5,2,1,1,0,0,0.3,84,84
98,,Dylan Moore\mooredy01,vs LHP,2021,81,158,,136,20,28,4,0,6,16,10,3,21,33,0.206,0.317,0.368,0.684,50,3,1,0,0,0,0,0.227,125,87
99,,Nick Solak\solakni01,vs LHP,2021,74,158,,139,17,37,6,0,3,21,0,3,12,29,0.266,0.354,0.374,0.729,52,3,7,0,0,0,2,0.318,116,101
100,,Gleyber Torres\torregl01,vs LHP,2021,74,158,,140,17,41,6,0,5,15,6,2,14,28,0.293,0.359,0.443,0.802,62,3,1,2,1,1,2,0.333,130,119
101,,Tommy Edman\edmanto01,vs LHP,2021,71,157,,146,28,39,12,1,6,16,4,0,8,21,0.267,0.308,0.486,0.794,71,1,1,1,1,0,1,0.275,126,113
102,,Phil Gosselin\gosseph01,vs LHP,2021,73,157,,142,15,39,5,0,2,15,2,1,13,23,0.275,0.344,0.352,0.696,50,2,2,0,0,0,0,0.316,107,92
103,,Jose Iglesias\iglesjo01,vs LHP,2021,79,157,,148,19,44,8,1,4,17,0,1,9,22,0.297,0.338,0.446,0.784,66,5,0,0,0,0,0,0.328,124,113
104,,Anthony Santander\santaan02,vs LHP,2021,74,157,,148,20,38,10,0,4,12,0,0,7,49,0.257,0.293,0.405,0.698,60,3,1,0,1,0,1,0.354,96,89
105,,Jonathan Villar\villajo01,vs LHP,2021,80,157,,146,19,41,7,0,3,9,5,4,11,43,0.281,0.331,0.39,0.722,57,2,0,0,0,0,2,0.38,97,97
106,,Andrew Benintendi\beninan01,vs LHP,2021,83,156,,145,17,44,11,1,3,23,3,1,7,27,0.303,0.34,0.455,0.795,66,1,2,0,2,0,1,0.35,108,116
107,,Lourdes Gurriel Jr.\gurrilo01,vs LHP,2021,89,156,,145,19,39,8,1,5,23,0,0,8,33,0.269,0.301,0.441,0.743,64,1,0,0,3,0,4,0.309,89,100
108,,J.T. Realmuto\realmjt01,vs LHP,2021,81,156,,137,17,33,12,0,3,14,2,0,17,39,0.241,0.333,0.394,0.728,54,3,2,0,0,2,2,0.316,87,99
109,,Nick Castellanos\casteni01,vs LHP,2021,77,155,,144,24,44,11,0,10,28,2,0,10,32,0.306,0.355,0.59,0.945,85,1,1,0,0,2,1,0.333,101,153
110,,Yoan Moncada\moncayo01,vs LHP,2021,75,154,,135,17,34,8,0,2,10,1,0,13,51,0.252,0.344,0.356,0.7,48,0,6,0,0,0,0,0.39,78,93
111,,Tommy Pham\phamth01,vs LHP,2021,71,154,,124,23,25,5,0,4,10,1,1,28,36,0.202,0.351,0.339,0.689,42,2,1,0,1,3,1,0.247,92,91
112,,Jose Abreu\abreujo02,vs LHP,2021,72,153,,136,28,40,7,1,11,30,0,0,11,29,0.294,0.366,0.603,0.969,82,6,5,0,1,0,1,0.299,130,160
113,,Kris Bryant\bryankr01,vs LHP,2021,77,153,,134,25,38,7,0,9,22,3,0,19,38,0.284,0.373,0.537,0.91,72,3,0,0,0,3,2,0.333,117,146
114,,Odubel Herrera\herreod01,vs LHP,2021,77,153,,139,17,35,9,0,3,12,2,0,6,26,0.252,0.305,0.381,0.686,53,2,5,1,1,0,3,0.288,90,87
115,,Eugenio Suarez\suareeu01,vs LHP,2021,84,153,,134,15,23,6,0,6,14,0,0,16,53,0.172,0.268,0.351,0.619,47,5,2,0,1,0,0,0.224,76,68
116,,Michael A. Taylor\taylomi02,vs LHP,2021,79,152,,139,16,41,6,0,4,21,4,4,11,44,0.295,0.344,0.425,0.769,59,2,0,1,1,0,0,0.402,135,110
117,,Jacob Stallings\stallja01,vs LHP,2021,74,151,,135,14,27,5,0,4,21,0,0,14,29,0.2,0.272,0.326,0.597,44,4,0,0,2,0,3,0.221,70,64
118,,Luis Torrens\torrelu01,vs LHP,2021,72,151,,142,20,39,9,1,9,23,0,0,8,34,0.275,0.311,0.542,0.854,77,2,0,0,1,1,1,0.3,130,128
119,,Miguel Cabrera\cabremi01,vs LHP,2021,63,150,,134,15,36,3,0,3,19,0,0,15,33,0.269,0.34,0.358,0.698,48,4,0,0,1,0,1,0.333,100,92
120,,Jazz Chisholm\chishja01,vs LHP,2021,71,150,,139,18,33,7,1,4,13,5,1,7,50,0.237,0.282,0.389,0.67,54,1,2,1,1,0,1,0.337,84,82
121,,Brandon Crawford\crawfbr01,vs LHP,2021,87,150,,135,12,33,6,0,6,27,1,3,12,38,0.244,0.3,0.422,0.722,57,2,0,0,3,0,0,0.287,61,95
122,,C.J. Cron\croncj01,vs LHP,2021,78,150,,132,22,41,12,0,8,30,1,0,15,34,0.311,0.393,0.583,0.977,77,1,3,0,0,2,2,0.367,115,163
123,,Rhys Hoskins\hoskirh01,vs LHP,2021,66,150,,128,20,32,11,0,10,24,2,2,18,34,0.25,0.36,0.57,0.93,73,4,4,0,0,0,3,0.262,115,150
124,,Wilmer Flores\florewi01,vs LHP,2021,78,149,,139,20,40,7,0,6,19,0,0,10,24,0.288,0.336,0.468,0.803,65,3,0,0,0,0,0,0.312,105,118
125,,Austin Riley\rileyau01,vs LHP,2021,69,149,,135,17,37,12,0,3,18,0,0,9,42,0.274,0.322,0.43,0.752,58,1,2,0,3,0,0,0.366,69,104
126,,Kyle Schwarber\schwaky01,vs LHP,2021,72,149,,123,17,33,4,0,4,11,0,0,21,43,0.268,0.389,0.398,0.788,49,2,4,0,1,0,0,0.377,76,117
127,,Pavin Smith\smithpa04,vs LHP,2021,80,149,,134,18,32,3,1,1,19,0,0,13,31,0.239,0.309,0.299,0.607,40,2,1,0,1,0,0,0.301,68,69
128,,Randal Grichuk\grichra01,vs LHP,2021,75,148,,138,18,34,9,0,6,18,0,0,8,25,0.246,0.291,0.442,0.733,61,7,1,0,1,0,0,0.259,108,97
129,,Josh Rojas\rojasjo01,vs LHP,2021,74,148,,130,22,36,7,0,4,13,4,0,15,41,0.277,0.352,0.423,0.775,55,1,0,1,0,0,1,0.377,106,112
130,,Mookie Betts\bettsmo01,vs LHP,2021,66,147,,124,28,33,7,1,6,15,1,3,21,29,0.266,0.374,0.484,0.858,60,1,1,0,1,1,0,0.3,101,133
131,,Dansby Swanson\swansda01,vs LHP,2021,73,147,,131,21,31,9,0,7,25,1,1,12,31,0.237,0.299,0.466,0.765,61,0,1,0,3,1,1,0.25,100,106
132,,Kolten Wong\wongko01,vs LHP,2021,65,147,,138,18,41,6,2,4,17,3,4,7,22,0.297,0.333,0.457,0.79,63,1,1,0,1,0,1,0.327,102,114
133,,Michael Conforto\confomi01,vs LHP,2021,82,146,,122,15,25,2,0,1,9,0,0,19,37,0.205,0.336,0.246,0.582,30,9,5,0,0,0,0,0.286,62,64
