Rk,I,Player,Split,Year,G,PA,GS,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1,,Charlie Blackmon\blackch02,vs LHP,2018,113,261,,239,40,70,7,2,10,24,6,1,16,52,0.293,0.352,0.464,0.817,111,6,6,0,0,0,2,0.339,91,126
2,,Nick Markakis\markani01,vs LHP,2018,118,248,,225,22,64,17,1,4,32,0,0,20,37,0.284,0.343,0.422,0.765,95,7,1,0,2,2,1,0.323,90,113
3,,Eric Hosmer\hosmeer01,vs LHP,2018,104,242,,223,17,40,8,2,4,24,3,0,17,44,0.179,0.24,0.287,0.527,64,10,1,0,1,0,2,0.205,47,47
4,,Freddie Freeman\freemfr01,vs LHP,2018,108,234,,204,26,63,11,2,10,37,6,1,25,47,0.309,0.393,0.529,0.923,108,4,4,0,1,3,6,0.358,106,155
5,,Enrique Hernandez\hernaen02,vs LHP,2018,98,225,,200,29,52,8,1,9,20,1,0,23,35,0.26,0.335,0.445,0.78,89,2,0,1,1,2,2,0.274,94,116
6,,Andrew McCutchen\mccutan01,vs LHP,2018,93,223,,193,25,51,14,1,7,26,2,4,28,48,0.264,0.363,0.456,0.819,88,8,2,0,0,1,3,0.319,106,128
7,,Marcus Semien\semiema01,vs LHP,2018,89,222,,196,32,49,13,1,7,22,3,1,23,44,0.25,0.324,0.434,0.758,85,2,0,0,3,0,2,0.284,114,110
8,,Bryce Harper\harpebr03,vs LHP,2018,104,218,,174,27,43,12,0,9,36,4,1,39,50,0.247,0.385,0.471,0.857,82,2,2,0,3,2,1,0.288,93,138
9,,Joey Votto\vottojo01,vs LHP,2018,101,217,,181,21,47,6,0,5,26,1,0,31,42,0.26,0.382,0.376,0.758,68,6,5,0,0,1,1,0.313,81,114
10,,Manny Machado\machama01,vs LHP,2018,84,215,,185,26,55,11,0,11,30,5,1,27,18,0.297,0.386,0.535,0.921,99,10,1,0,2,7,1,0.278,105,155
11,,Chris Taylor\tayloch03,vs LHP,2018,92,214,,185,32,43,9,3,7,18,5,3,25,49,0.232,0.327,0.427,0.754,79,2,2,0,2,0,3,0.275,95,109
