Rk,I,Player,Split,Year,G,PA,GS,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
20,,Adam Eaton\eatonad02,vs RHP,2019,143,499,,428,76,118,18,4,13,39,11,1,53,78,0.276,0.366,0.428,0.794,183,8,10,5,3,0,1,0.309,100,113
21,,Eric Hosmer\hosmeer01,vs RHP,2019,154,499,,463,60,128,20,1,21,83,0,3,29,130,0.276,0.321,0.46,0.781,213,4,3,0,4,3,4,0.339,112,106
22,,Eduardo Escobar\escobed01,vs RHP,2019,152,497,,445,64,114,17,8,24,83,4,1,42,95,0.256,0.318,0.492,0.81,219,6,2,0,8,3,3,0.269,96,113
23,,Alex Bregman\bregmal01,vs RHP,2019,151,496,,391,86,107,23,1,25,74,4,1,91,60,0.274,0.415,0.529,0.945,207,6,8,0,6,0,2,0.263,88,152
24,,Jorge Polanco\polanjo01,vs RHP,2019,150,493,,435,82,133,30,6,16,55,3,2,50,73,0.306,0.378,0.513,0.891,223,2,3,1,4,2,7,0.334,112,136
25,,Amed Rosario\rosaram01,vs RHP,2019,145,493,,468,46,131,18,6,9,54,16,8,19,92,0.28,0.311,0.402,0.713,188,9,3,1,2,2,8,0.331,89,90
26,,Matt Chapman\chapmma01,vs RHP,2019,148,491,,429,73,109,28,2,25,66,1,1,50,112,0.254,0.344,0.503,0.848,216,9,10,0,2,0,4,0.286,100,123
27,,J.D. Martinez\martijd02,vs RHP,2019,142,487,,434,60,118,24,1,17,65,1,0,47,107,0.272,0.344,0.449,0.793,195,12,2,0,3,4,5,0.323,70,111
28,,Kyle Schwarber\schwaky01,vs RHP,2019,146,486,,420,65,107,25,2,32,74,2,3,59,120,0.255,0.348,0.552,0.9,232,6,3,0,4,5,4,0.276,107,136
29,,Rafael Devers\deverra01,vs RHP,2019,143,483,,439,92,145,39,4,25,86,8,7,42,77,0.33,0.388,0.608,0.996,267,7,0,1,1,7,5,0.355,117,161
30,,Cesar Hernandez\hernace02,vs RHP,2019,150,482,,441,63,126,22,3,13,55,8,1,33,78,0.286,0.342,0.438,0.78,193,5,6,0,2,3,4,0.321,110,108
31,,DJ LeMahieu\lemahdj01,vs RHP,2019,142,478,,442,77,137,22,2,16,71,2,1,29,67,0.31,0.352,0.477,0.83,211,12,2,1,4,0,5,0.333,86,120
32,,Anthony Rendon\rendoan01,vs RHP,2019,142,475,,409,79,131,35,2,24,100,2,1,54,59,0.32,0.404,0.592,0.996,242,13,7,0,5,1,2,0.323,97,163
33,,Nolan Arenado\arenano01,vs RHP,2019,148,472,,426,68,134,24,1,28,88,2,0,35,64,0.315,0.364,0.573,0.937,244,13,3,0,8,5,7,0.31,94,146
34,,Shin-Soo Choo\choosh01,vs RHP,2019,140,471,,397,67,111,27,2,18,42,11,1,64,112,0.28,0.393,0.494,0.886,196,4,10,0,0,3,7,0.348,115,137
35,,Kevin Pillar\pillake01,vs RHP,2019,148,471,,449,61,113,25,3,12,59,10,2,10,74,0.252,0.28,0.401,0.681,180,12,9,0,3,0,6,0.276,90,80
36,,Jean Segura\segurje01,vs RHP,2019,139,471,,441,45,122,20,3,6,42,9,1,21,56,0.277,0.316,0.376,0.693,166,8,6,0,3,0,4,0.304,87,85
37,,Bryce Harper\harpebr03,vs RHP,2019,143,469,,386,63,96,25,1,20,70,13,2,77,125,0.249,0.375,0.474,0.849,183,7,3,0,3,11,2,0.311,94,126
38,,Jason Heyward\heywaja01,vs RHP,2019,141,469,,401,69,106,16,4,19,51,8,3,60,81,0.264,0.365,0.466,0.831,187,9,5,0,3,5,5,0.286,115,121
39,,Trevor Story\storytr01,vs RHP,2019,140,469,,416,84,119,24,4,26,61,15,4,45,125,0.286,0.36,0.55,0.911,229,3,5,0,3,0,6,0.347,99,139
40,,Jonathan Villar\villajo01,vs RHP,2019,152,467,,415,81,116,24,4,15,48,31,4,45,110,0.28,0.354,0.465,0.819,193,3,4,1,2,0,3,0.346,107,118
41,,Nick Ahmed\ahmedni01,vs RHP,2019,148,466,,415,53,97,18,5,13,58,7,2,36,90,0.234,0.295,0.395,0.69,164,11,4,1,10,1,9,0.261,84,83
42,,Joc Pederson\pederjo01,vs RHP,2019,141,464,,401,77,101,14,3,36,73,1,1,49,96,0.252,0.349,0.571,0.92,229,4,12,0,2,2,2,0.24,109,141
43,,Carlos Santana\santaca01,vs RHP,2019,153,464,,388,76,101,21,1,23,53,2,0,74,74,0.26,0.381,0.497,0.879,193,8,2,0,0,9,2,0.268,93,134
44,,Anthony Rizzo\rizzoan01,vs RHP,2019,138,462,,388,70,119,24,3,21,64,4,1,56,66,0.307,0.416,0.546,0.962,212,10,17,0,1,3,2,0.325,108,156
45,,Trey Mancini\mancitr01,vs RHP,2019,150,460,,411,66,122,23,2,23,71,1,0,41,96,0.297,0.363,0.53,0.893,218,13,4,0,4,1,2,0.334,99,136
46,,Marcell Ozuna\ozunama01,vs RHP,2019,128,460,,402,66,99,19,1,23,69,12,2,56,90,0.246,0.339,0.47,0.809,189,20,1,0,1,2,3,0.262,103,114
47,,Victor Robles\roblevi01,vs RHP,2019,150,458,,409,65,105,24,2,14,52,16,5,27,108,0.257,0.319,0.428,0.746,175,4,12,6,4,3,6,0.313,100,98
48,,Brandon Belt\beltbr01,vs RHP,2019,142,457,,393,61,95,25,3,14,45,4,3,60,87,0.242,0.341,0.427,0.769,168,4,1,0,3,3,2,0.275,107,105
49,,Alex Gordon\gordoal01,vs RHP,2019,145,457,,403,60,110,23,1,10,54,3,3,38,69,0.273,0.35,0.409,0.76,165,8,12,0,4,4,2,0.305,105,104
50,,Tommy Pham\phamth01,vs RHP,2019,140,457,,408,50,101,20,2,18,56,17,2,44,88,0.248,0.326,0.439,0.765,179,15,4,0,1,1,8,0.274,86,103
51,,Yasiel Puig\puigya01,vs RHP,2019,144,457,,419,59,110,24,2,19,61,16,6,30,103,0.263,0.317,0.465,0.783,195,9,5,0,3,0,5,0.303,99,106
52,,Michael Conforto\confomi01,vs RHP,2019,137,455,,375,73,99,22,1,27,66,6,1,69,99,0.264,0.382,0.544,0.926,204,5,6,0,5,5,1,0.283,115,145
53,,Ketel Marte\marteke01,vs RHP,2019,136,454,,404,67,132,25,8,20,61,8,2,46,64,0.327,0.396,0.577,0.973,233,4,2,0,2,0,3,0.348,99,157
54,,Michael Brantley\brantmi02,vs RHP,2019,141,453,,412,71,133,32,2,19,68,2,0,36,39,0.323,0.38,0.549,0.928,226,15,3,0,2,3,1,0.32,111,145
55,,Adam Frazier\fraziad01,vs RHP,2019,139,452,,411,66,117,25,5,9,39,5,3,31,53,0.285,0.346,0.436,0.781,179,5,8,1,1,3,3,0.309,108,109
56,,Elvis Andrus\andruel01,vs RHP,2019,142,450,,418,56,115,18,2,8,50,22,7,22,66,0.275,0.311,0.385,0.696,161,12,3,0,7,0,9,0.305,97,86
57,,David Fletcher\fletcda02,vs RHP,2019,141,450,,415,50,123,21,3,3,37,7,2,34,53,0.296,0.35,0.383,0.733,159,7,0,1,0,0,3,0.334,100,98
58,,Javier Baez\baezja01,vs RHP,2019,129,449,,429,62,118,34,2,21,68,3,5,20,126,0.275,0.307,0.51,0.818,219,12,0,0,0,3,3,0.344,93,113
59,,Hunter Dozier\doziehu01,vs RHP,2019,135,448,,402,56,112,25,8,18,64,2,0,38,115,0.279,0.342,0.515,0.856,207,7,3,0,5,0,3,0.343,97,126
60,,Josh Bell\belljo02,vs RHP,2019,129,447,,384,76,114,32,3,28,91,0,0,57,76,0.297,0.387,0.615,1.002,236,5,2,0,4,11,2,0.303,114,163
61,,Dexter Fowler\fowlede01,vs RHP,2019,143,447,,379,54,93,21,1,15,54,8,5,56,115,0.245,0.35,0.425,0.775,161,4,7,1,4,1,5,0.308,105,107
62,,Gleyber Torres\torregl01,vs RHP,2019,140,447,,406,69,112,17,0,29,67,5,1,33,92,0.276,0.329,0.532,0.861,216,8,2,0,6,3,2,0.285,97,125
63,,Starling Marte\martest01,vs RHP,2019,125,446,,405,79,123,23,4,17,66,18,4,23,66,0.304,0.362,0.506,0.868,205,12,15,1,2,0,1,0.327,106,130
64,,Lorenzo Cain\cainlo01,vs RHP,2019,136,445,,403,49,104,23,0,5,34,9,7,34,76,0.258,0.324,0.352,0.677,142,9,6,0,1,0,3,0.307,94,82
65,,Kole Calhoun\calhoko01,vs RHP,2019,139,443,,387,69,93,24,1,23,47,3,1,47,118,0.24,0.33,0.486,0.816,188,9,6,0,2,7,3,0.282,106,115
66,,Trea Turner\turnetr01,vs RHP,2019,119,441,,404,75,118,28,5,17,51,27,4,33,90,0.292,0.349,0.512,0.862,207,9,3,0,1,0,4,0.339,102,127
67,,Miguel Cabrera\cabremi01,vs RHP,2019,128,438,,396,31,106,12,0,8,39,0,0,35,86,0.268,0.329,0.359,0.687,142,13,3,0,4,3,3,0.32,85,85
68,,Yasmani Grandal\grandya01,vs RHP,2019,145,438,,358,53,86,19,1,17,52,3,1,72,96,0.24,0.372,0.441,0.813,158,8,5,0,3,1,4,0.278,92,118
69,,Juan Soto\sotoju01,vs RHP,2019,146,438,,356,82,100,20,2,28,77,9,1,80,89,0.281,0.416,0.584,1,208,6,2,0,0,2,1,0.301,110,165
70,,Dansby Swanson\swansda01,vs RHP,2019,123,436,,384,61,92,24,2,13,49,8,3,42,105,0.24,0.32,0.414,0.734,159,6,5,1,4,2,2,0.293,97,95
71,,Yuli Gurriel\gourryu01,vs RHP,2019,139,435,,406,62,130,25,1,24,81,3,2,19,53,0.32,0.352,0.564,0.916,229,8,4,0,6,1,4,0.316,107,140
72,,J.T. Realmuto\realmjt01,vs RHP,2019,140,435,,393,66,108,24,3,17,61,5,1,32,89,0.275,0.329,0.481,0.81,189,10,3,0,6,0,5,0.311,98,114
73,,Cody Bellinger\bellico01,vs RHP,2019,140,433,,365,85,116,27,3,29,71,10,4,61,70,0.318,0.417,0.647,1.063,236,3,3,0,3,16,3,0.323,106,179
74,,Max Kepler\keplema01,vs RHP,2019,126,433,,377,77,89,25,0,27,54,1,4,47,75,0.236,0.328,0.517,0.845,195,2,6,0,3,0,5,0.223,97,122
75,,Josh Reddick\reddijo01,vs RHP,2019,137,433,,391,40,104,14,3,9,46,4,2,30,48,0.266,0.312,0.386,0.698,151,7,0,0,9,1,2,0.277,92,86
76,,Joey Votto\vottojo01,vs RHP,2019,135,432,,373,63,100,25,1,14,37,3,0,54,79,0.268,0.361,0.453,0.814,169,11,2,0,3,2,6,0.304,111,117
77,,Francisco Lindor\lindofr01,vs RHP,2019,133,431,,400,63,119,29,2,24,50,14,4,23,66,0.298,0.333,0.56,0.893,224,10,1,1,6,8,1,0.301,108,133
78,,Christian Walker\walkech02,vs RHP,2019,140,429,,384,63,102,18,1,23,59,7,1,39,115,0.266,0.34,0.497,0.838,191,6,5,0,1,5,1,0.32,102,121
79,,Eddie Rosario\rosared01,vs RHP,2019,130,428,,409,70,112,17,1,27,82,3,1,14,63,0.274,0.294,0.518,0.813,212,8,0,0,5,2,3,0.262,102,111
80,,Andrew Benintendi\beninan01,vs RHP,2019,128,427,,381,52,101,28,5,8,41,10,2,38,97,0.265,0.336,0.428,0.764,163,4,4,2,2,1,3,0.335,97,104
81,,Kolten Wong\wongko01,vs RHP,2019,143,427,,367,50,104,21,4,8,48,20,4,42,65,0.283,0.369,0.428,0.797,157,2,10,4,4,5,7,0.322,103,114
82,,Colin Moran\moranco01,vs RHP,2019,138,425,,389,40,108,26,1,11,69,0,0,29,99,0.278,0.329,0.434,0.764,169,8,3,0,4,4,3,0.343,103,103
83,,Robbie Grossman\grossro01,vs RHP,2019,130,424,,368,49,92,20,2,5,29,8,4,53,74,0.25,0.344,0.356,0.7,131,6,1,0,2,2,3,0.299,105,89
84,,Yolmer Sanchez\sanchca01,vs RHP,2019,142,424,,376,45,90,13,3,1,33,4,3,34,93,0.239,0.309,0.298,0.606,112,4,5,6,3,1,6,0.312,90,65
85,,Leury Garcia\garcile02,vs RHP,2019,134,422,,394,63,104,14,2,5,26,11,5,15,105,0.264,0.294,0.348,0.642,137,1,3,7,3,0,8,0.345,87,72
86,,Randal Grichuk\grichra01,vs RHP,2019,138,422,,398,51,89,20,2,22,54,1,1,19,117,0.224,0.265,0.45,0.715,179,17,4,0,1,0,3,0.258,93,87
87,,Mike Trout\troutmi01,vs RHP,2019,129,416,,327,83,99,17,1,35,78,9,2,72,81,0.303,0.442,0.682,1.124,223,4,13,0,4,10,3,0.298,107,195
88,,Austin Meadows\meadoau01,vs RHP,2019,134,414,,363,66,108,21,4,24,57,10,5,45,78,0.298,0.384,0.576,0.96,209,3,6,0,0,6,1,0.322,109,153
89,,Brandon Crawford\crawfbr01,vs RHP,2019,134,412,,360,44,81,17,1,10,50,2,1,46,89,0.225,0.313,0.361,0.674,130,7,2,0,4,5,3,0.268,106,81
90,,Daniel Vogelbach\vogelda01,vs RHP,2019,133,412,,338,55,76,13,0,25,59,0,0,72,109,0.225,0.359,0.485,0.844,164,4,0,0,2,2,2,0.248,116,124
91,,Orlando Arcia\arciaor01,vs RHP,2019,137,411,,373,36,81,13,0,11,49,7,3,32,85,0.217,0.276,0.34,0.617,127,10,0,2,4,5,4,0.249,95,65
92,,Jeff McNeil\mcneije01,vs RHP,2019,121,411,,369,66,118,28,1,20,59,2,4,26,55,0.32,0.387,0.564,0.951,208,5,15,0,1,2,5,0.332,107,151
93,,Brett Gardner\gardnbr01,vs RHP,2019,131,408,,359,67,95,20,6,23,57,10,1,43,76,0.265,0.346,0.546,0.892,196,5,3,0,3,0,4,0.274,115,134
94,,Max Muncy\muncyma01,vs RHP,2019,125,408,,330,71,80,16,0,24,60,2,0,71,97,0.242,0.377,0.509,0.887,168,4,3,0,4,1,6,0.263,100,135
95,,Freddy Galvis\galvifr01,vs RHP,2019,132,406,,377,51,94,15,1,19,51,2,2,25,107,0.249,0.296,0.446,0.742,168,7,1,1,2,1,4,0.296,102,95
96,,Jose Altuve\altuvjo01,vs RHP,2019,118,405,,370,62,106,17,2,20,52,4,4,32,66,0.286,0.343,0.505,0.849,187,14,1,0,2,0,2,0.301,89,124
97,,Franmil Reyes\reyesfr01,vs RHP,2019,136,404,,369,49,88,10,0,30,58,0,0,30,117,0.238,0.292,0.509,0.802,188,10,0,0,5,0,2,0.256,94,109
98,,Mike Moustakas\moustmi01,vs RHP,2019,131,403,,360,58,88,21,1,24,60,3,0,40,71,0.244,0.323,0.508,0.831,183,8,2,0,1,4,2,0.241,97,118
99,,George Springer\springe01,vs RHP,2019,114,403,,354,71,106,17,2,31,78,4,1,43,81,0.299,0.377,0.621,0.999,220,9,3,0,3,1,4,0.306,104,161
100,,Jarrod Dyson\dysonja01,vs RHP,2019,113,402,,354,55,77,11,2,7,26,29,4,44,74,0.218,0.304,0.319,0.623,113,0,1,1,2,0,1,0.255,97,68
101,,José Iglesias\iglesjo01,vs RHP,2019,138,401,,382,46,112,19,2,8,46,6,4,14,56,0.293,0.32,0.416,0.736,159,12,2,1,2,3,3,0.325,103,96
102,,Wilson Ramos\ramoswi01,vs RHP,2019,131,401,,366,36,99,15,0,9,53,1,0,29,54,0.27,0.329,0.385,0.714,141,9,4,0,2,3,4,0.295,86,91
103,,Mallex Smith\smithma05,vs RHP,2019,125,401,,362,43,77,14,7,5,29,27,4,28,104,0.213,0.283,0.331,0.615,120,2,8,2,1,0,3,0.283,93,65
104,,Charlie Blackmon\blackch02,vs RHP,2019,125,400,,365,70,116,27,6,18,57,2,4,28,62,0.318,0.368,0.573,0.94,209,7,3,0,4,1,4,0.339,101,147
105,,Jurickson Profar\profaju01,vs RHP,2019,132,399,,354,46,68,17,2,17,50,7,1,35,58,0.192,0.278,0.395,0.674,140,11,8,0,2,1,1,0.181,89,78
106,,Brian Anderson\anderbr06,vs RHP,2019,123,397,,347,49,94,28,1,14,54,5,1,38,84,0.271,0.355,0.478,0.834,166,13,9,0,3,1,4,0.317,106,121
107,,Eric Thames\thameer01,vs RHP,2019,136,397,,346,63,88,22,2,23,55,3,0,42,121,0.254,0.348,0.529,0.877,183,0,8,0,1,4,0,0.32,105,131
108,,Yoan Moncada\moncayo01,vs RHP,2019,119,394,,357,64,115,19,3,21,54,7,1,31,105,0.322,0.377,0.569,0.945,203,0,2,1,3,1,2,0.402,107,149
109,,Ji-Man Choi\choiji01,vs RHP,2019,122,393,,329,45,90,17,2,17,57,2,2,53,86,0.274,0.377,0.492,0.869,162,7,5,0,6,2,2,0.315,111,131
110,,Kevin Newman\newmake01,vs RHP,2019,118,392,,367,40,116,15,4,11,59,14,5,19,50,0.316,0.355,0.469,0.824,172,4,4,1,1,1,6,0.342,106,119
111,,Rougned Odor\odorro01,vs RHP,2019,134,392,,357,50,68,16,1,21,61,7,7,31,121,0.19,0.26,0.417,0.678,149,2,3,0,1,2,4,0.218,87,77
112,,Matt Carpenter\carpema01,vs RHP,2019,123,389,,333,52,76,16,2,13,39,4,1,47,104,0.228,0.332,0.405,0.737,135,2,6,0,3,0,2,0.288,103,97
113,,Bryan Reynolds\reynobr01,vs RHP,2019,125,389,,347,63,116,27,4,11,51,3,2,37,85,0.334,0.401,0.53,0.931,184,5,3,0,2,0,5,0.415,112,147
114,,Omar Narvaez\narvaom01,vs RHP,2019,125,387,,353,53,102,11,0,20,45,0,0,29,82,0.289,0.346,0.49,0.836,173,3,3,0,2,1,1,0.324,105,121
115,,Willy Adames\adamewi01,vs RHP,2019,142,386,,349,51,102,20,1,12,37,3,1,33,98,0.292,0.358,0.458,0.817,160,6,3,1,0,1,3,0.377,123,117
116,,Wil Myers\myerswi01,vs RHP,2019,134,386,,349,44,84,21,0,11,38,13,5,33,129,0.241,0.309,0.395,0.705,138,8,2,1,1,0,4,0.348,91,88
117,,Khris Davis\daviskh01,vs RHP,2019,123,383,,351,36,69,11,0,12,48,0,0,28,118,0.197,0.258,0.33,0.589,116,10,2,0,2,2,4,0.256,73,57
118,,Luke Voit\voitlu01,vs RHP,2019,117,383,,321,57,86,16,1,16,49,0,0,55,109,0.268,0.386,0.474,0.86,152,11,7,0,0,1,1,0.357,104,130
119,,Nelson Cruz\cruzne02,vs RHP,2019,113,381,,339,55,104,21,0,25,79,0,1,36,102,0.307,0.381,0.59,0.971,200,13,5,0,1,0,2,0.371,90,155
120,,Jackie Bradley Jr.\bradlja02,vs RHP,2019,136,379,,330,50,76,20,3,17,46,5,5,40,99,0.23,0.324,0.464,0.787,153,3,6,2,1,2,5,0.274,112,108
121,,Renato Nunez\nunezre01,vs RHP,2019,140,378,,341,38,78,15,0,18,52,1,1,30,99,0.229,0.302,0.431,0.733,147,5,6,0,1,0,1,0.267,91,94
122,,Christian Yelich\yelicch01,vs RHP,2019,120,378,,316,68,113,19,2,32,73,21,2,55,81,0.358,0.455,0.734,1.189,232,3,4,0,3,11,1,0.393,115,211
123,,Ryan McMahon\mcmahry01,vs RHP,2019,125,377,,328,50,81,17,1,14,55,4,1,47,104,0.247,0.342,0.433,0.775,142,9,1,0,1,1,3,0.318,100,107
124,,Joe Panik\panikjo01,vs RHP,2019,128,376,,341,41,79,15,2,4,29,3,1,32,37,0.232,0.298,0.323,0.62,110,6,1,0,2,1,4,0.248,91,67
125,,Miguel Rojas\rojasmi02,vs RHP,2019,120,376,,345,39,96,23,1,2,32,9,3,22,51,0.278,0.325,0.368,0.693,127,10,4,1,4,0,2,0.318,95,86
126,,Asdrubal Cabrera\cabreas01,vs RHP,2019,124,374,,330,56,85,17,1,15,68,3,0,38,83,0.258,0.337,0.452,0.788,149,7,3,0,3,2,3,0.298,101,109
127,,Matt Olson\olsonma02,vs RHP,2019,119,374,,326,51,94,19,0,25,64,0,0,42,97,0.288,0.38,0.577,0.956,188,4,6,0,0,7,3,0.338,114,152
128,,Scott Kingery\kingesc01,vs RHP,2019,118,371,,335,47,82,24,3,12,42,14,1,29,107,0.245,0.314,0.442,0.755,148,3,5,1,1,0,3,0.323,93,100
129,,Justin Turner\turneju01,vs RHP,2019,124,370,,319,53,93,13,0,15,44,2,0,36,53,0.292,0.378,0.473,0.852,151,7,11,0,4,0,5,0.306,95,127
130,,Vladimir Guerrero Jr.\guerrvl02,vs RHP,2019,121,369,,334,35,98,21,2,11,54,0,1,31,68,0.293,0.355,0.467,0.822,156,11,2,0,2,0,4,0.339,113,118
131,,Tim Anderson\anderti01,vs RHP,2019,119,367,,354,53,120,23,0,13,39,13,4,9,81,0.339,0.36,0.514,0.874,182,12,3,0,1,0,1,0.41,102,131
132,,Jose Ramirez\ramirjo01,vs RHP,2019,119,367,,326,45,81,24,3,16,59,17,4,37,60,0.248,0.327,0.488,0.815,159,5,2,0,2,2,3,0.258,102,115
133,,Yadier Molina\molinya01,vs RHP,2019,109,366,,344,34,89,19,0,8,46,5,0,14,53,0.259,0.292,0.384,0.676,132,9,4,0,4,0,2,0.282,90,80
134,,Niko Goodrum\goodrni01,vs RHP,2019,108,365,,326,44,70,21,2,11,37,9,3,37,117,0.215,0.296,0.393,0.689,128,4,1,0,1,0,2,0.296,85,83
135,,Albert Pujols\pujolal01,vs RHP,2019,122,364,,326,35,77,13,0,12,56,2,0,29,46,0.236,0.299,0.387,0.686,126,14,3,0,6,0,4,0.237,88,83
136,,Domingo Santana\santado01,vs RHP,2019,113,364,,329,42,85,15,1,13,50,6,1,30,116,0.258,0.322,0.429,0.751,141,9,2,0,2,0,2,0.356,95,99
137,,Hunter Renfroe\renfrhu01,vs RHP,2019,126,361,,327,44,68,16,0,22,45,4,0,29,123,0.208,0.274,0.459,0.733,150,4,2,0,3,0,1,0.249,89,91
138,,Edwin Encarnacion\encared01,vs RHP,2019,105,358,,312,58,76,14,0,23,64,0,1,37,81,0.244,0.332,0.51,0.842,159,3,6,0,3,0,3,0.251,93,121
139,,Adam Jones\jonesad01,vs RHP,2019,125,358,,328,45,85,14,0,12,45,2,1,21,68,0.259,0.317,0.412,0.728,135,12,7,0,1,1,3,0.293,101,94
140,,Todd Frazier\frazito01,vs RHP,2019,118,357,,321,46,75,12,2,13,46,1,2,27,76,0.234,0.311,0.405,0.716,130,6,9,0,0,1,4,0.267,86,90
141,,C.J. Cron\croncj01,vs RHP,2019,120,356,,329,28,74,17,0,14,47,0,0,19,80,0.225,0.281,0.404,0.685,133,9,7,0,1,0,4,0.254,77,81
142,,Nick Markakis\markani01,vs RHP,2019,108,356,,312,49,93,17,1,9,46,2,0,38,47,0.298,0.371,0.446,0.816,139,8,1,0,5,1,4,0.322,110,119
143,,Corey Seager\seageco01,vs RHP,2019,117,356,,322,63,93,36,1,13,63,1,0,30,54,0.289,0.348,0.528,0.876,170,6,1,0,3,3,2,0.31,113,130
144,,Eloy Jimenez\jimenel02,vs RHP,2019,116,355,,333,48,90,12,2,24,59,0,0,19,89,0.27,0.313,0.535,0.847,178,7,2,0,1,0,2,0.299,104,121
145,,Brian Goodwin\goodwbr01,vs RHP,2019,122,354,,318,53,83,21,2,13,32,6,2,33,100,0.261,0.328,0.462,0.79,147,3,0,0,3,2,2,0.337,99,109
146,,Danny Santana\santada01,vs RHP,2019,115,354,,329,55,94,15,5,19,54,15,4,15,100,0.286,0.323,0.535,0.858,176,6,5,0,4,2,1,0.35,100,124
147,,Avisail Garcia\garciav01,vs RHP,2019,120,353,,327,39,95,18,1,13,53,10,3,17,85,0.291,0.334,0.471,0.805,154,8,6,0,3,1,3,0.353,102,113
148,,Kevin Kiermaier\kiermke01,vs RHP,2019,119,350,,325,44,64,13,7,11,38,14,3,21,76,0.197,0.254,0.382,0.636,124,5,4,0,0,2,3,0.223,87,67
149,,Christian Vazquez\vazquch01,vs RHP,2019,120,348,,324,36,88,16,1,12,44,2,2,20,75,0.272,0.312,0.438,0.75,142,10,0,2,2,1,1,0.318,89,98
150,,Jorge Alfaro\alfarjo01,vs RHP,2019,117,347,,319,31,81,9,1,12,37,2,4,19,116,0.254,0.308,0.401,0.71,128,10,7,0,2,1,4,0.358,93,89
