Rk,I,Player,Split,Year,G,PA,GS,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1,,Ronald Acuna Jr.\acunaro01,vs RHP,2019,150,569,,500,98,141,20,1,31,77,32,7,61,150,0.282,0.366,0.512,0.878,256,7,6,0,1,3,6,0.344,99,132
2,,Paul Goldschmidt\goldspa01,vs RHP,2019,157,555,,493,73,127,23,0,25,73,2,0,56,142,0.258,0.335,0.456,0.791,225,10,2,0,2,1,6,0.311,93,110
3,,Ozzie Albies\albieoz01,vs RHP,2019,154,545,,491,73,131,34,7,13,53,12,4,48,92,0.267,0.334,0.444,0.778,218,2,3,0,3,6,7,0.303,84,107
4,,Nick Castellanos\casteni01,vs RHP,2019,147,544,,507,78,138,45,3,19,54,2,2,31,127,0.272,0.318,0.485,0.803,246,8,4,0,2,0,7,0.328,87,111
5,,Marcus Semien\semiema01,vs RHP,2019,160,544,,479,92,132,29,4,26,70,10,5,62,78,0.276,0.36,0.516,0.876,247,10,2,0,1,1,11,0.282,96,131
6,,Paul DeJong\dejonpa01,vs RHP,2019,156,534,,470,78,111,24,1,27,68,6,5,47,116,0.236,0.318,0.464,0.782,218,12,12,0,5,1,4,0.253,105,106
7,,Whit Merrifield\merriwh01,vs RHP,2019,156,527,,488,71,152,27,9,8,46,10,8,31,94,0.311,0.357,0.453,0.81,221,6,5,0,3,3,7,0.37,100,116
8,,Freddie Freeman\freemfr01,vs RHP,2019,151,517,,436,83,135,28,2,30,97,6,3,76,83,0.31,0.416,0.589,1.005,257,13,4,0,1,11,2,0.324,114,166
9,,Rhys Hoskins\hoskirh01,vs RHP,2019,154,517,,432,59,93,24,4,20,58,1,2,71,135,0.215,0.335,0.428,0.764,185,7,9,0,4,2,1,0.26,86,103
10,,Pete Alonso\alonspe01,vs RHP,2019,150,515,,447,77,119,22,1,39,85,1,0,48,126,0.266,0.359,0.582,0.941,260,9,18,0,2,4,7,0.282,100,146
11,,Manny Machado\machama01,vs RHP,2019,153,515,,460,62,110,15,1,19,58,3,1,47,102,0.239,0.315,0.4,0.715,184,19,5,0,3,2,4,0.266,81,91
12,,Xander Bogaerts\bogaexa01,vs RHP,2019,149,514,,449,79,142,39,0,23,80,2,2,58,87,0.316,0.393,0.557,0.95,250,8,2,0,5,0,4,0.346,103,151
13,,Jorge Soler\solerjo01,vs RHP,2019,159,514,,446,71,119,25,0,39,87,1,1,54,133,0.267,0.354,0.585,0.939,261,11,8,0,3,3,7,0.289,103,145
14,,José Abreu\abreujo02,vs RHP,2019,156,511,,470,58,121,27,1,24,92,2,1,24,121,0.257,0.299,0.472,0.772,222,17,8,0,9,3,5,0.29,84,102
15,,Mookie Betts\bettsmo01,vs RHP,2019,140,509,,431,98,131,27,5,23,67,15,3,67,79,0.304,0.395,0.55,0.945,237,8,3,0,8,2,3,0.32,106,150
16,,Eugenio Suarez\suareeu01,vs RHP,2019,152,506,,452,63,122,18,2,38,79,1,1,40,140,0.27,0.34,0.571,0.911,258,11,10,0,4,1,3,0.302,95,138
17,,Kris Bryant\bryankr01,vs RHP,2019,138,505,,438,85,122,29,0,22,57,3,0,51,117,0.279,0.37,0.495,0.866,217,7,14,0,2,0,5,0.332,92,130
18,,Starlin Castro\castrst01,vs RHP,2019,158,502,,472,48,119,24,4,13,65,2,2,20,83,0.252,0.283,0.403,0.685,190,18,3,0,7,1,3,0.277,87,81
19,,Josh Donaldson\donaljo02,vs RHP,2019,151,502,,428,73,116,26,0,30,79,3,2,68,113,0.271,0.375,0.542,0.917,232,9,4,0,2,1,3,0.3,103,142
